Index,Name,Engine,FuelType,KM,Year,Price,Location
382,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,1700,Louth
383,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,32950,Louth
384,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,32950,Dublin
385,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,5950,Dublin
390,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,8450,Cork
391,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,3999,Cork
395,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,10950,Limerick
396,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,10950,Waterford
397,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,3250,Waterford
398,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,3250,Kerry
399,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,18990,Kerry
401,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,7900,Waterford
404,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,1650,Cork
405,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,14600,Cork
406,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,14600,Kildare
407,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,16995,Kildare
408,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,16995,Clare
409,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,20745,Clare
410,Renault Laguna 2009,1.9,Diesel,181000,2009,20745,Sligo
411,Renault Laguna 2009,1.9,Diesel,181000,2009,6850,Sligo
412,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,6850,Waterford
413,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,5600,Waterford
414,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,5600,Dublin
415,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,13950,Dublin
419,Renault Grand Megane 2012,1.5,Diesel,129180,2012,10695,Wicklow
420,Car,1.5,Diesel,178790,2010,16995,Cork
421,Renault Zoe R135 Z.E 50 GT Line CCS Rapid Charge,0,Electric,8000,2021,6350,Kildare
422,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,1750,Dublin
424,Renault clio IV Dynamique,1.1,Petrol,106000,2013,22250,Meath
427,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,18450,Carlow
430,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,17449,Limerick
431,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,55949,Limerick
432,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,33949,Kerry
433,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,16450,Kerry
434,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,16450,Dublin
435,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,32950,Dublin
436,"Renault Clio, 2007",1.1,Petrol,201772,2007,32950,Kilkenny
437,"Renault Clio, 2007",1.1,Petrol,201772,2007,16950,Kilkenny
438,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,16950,Galway
439,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,5950,Galway
440,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,5950,Louth
